treatment,replicate,row,column,species,sp_rep,genotype,fragment,surv_time,dead
mix,4,C,10,pdae,6,3,16,92,0
mix,4,D,4,pdae,7,1,21,92,0
mix,4,D,10,pdae,8,2,33,92,0
mix,4,E,3,pdae,9,1,12,92,0
mix,4,E,10,pdae,10,4,35,92,0
pellets,1,A,1,pdae,1,3,44,75,1
pellets,1,A,5,pdae,2,3,2,92,0
pellets,1,A,7,pdae,3,1,47,92,0
pellets,1,B,1,pdae,4,4,15,92,0
pellets,1,C,4,pdae,5,2,7,92,0
pellets,1,C,10,pdae,6,1,8,92,0
pellets,1,D,4,pdae,7,4,37,92,0
pellets,1,D,10,pdae,8,5,21,92,0
pellets,1,E,3,pdae,9,5,19,92,0
pellets,1,E,10,pdae,10,2,13,92,0
pellets,2,A,1,pdae,1,2,54,92,0
pellets,2,A,5,pdae,2,1,34,92,0
pellets,2,A,7,pdae,3,3,18,92,0
pellets,2,B,1,pdae,4,1,35,92,0
pellets,2,C,4,pdae,5,4,12,92,0
pellets,2,C,10,pdae,6,5,12,92,0
pellets,2,D,4,pdae,7,3,38,92,0
pellets,2,D,10,pdae,8,4,25,92,0
pellets,2,E,3,pdae,9,2,17,92,0
pellets,2,E,10,pdae,10,5,3,92,0
pellets,3,A,1,pdae,1,3,25,92,0
pellets,3,A,5,pdae,2,2,3,92,0
pellets,3,A,7,pdae,3,3,1,92,0
pellets,3,B,1,pdae,4,4,30,92,0
pellets,3,C,4,pdae,5,1,29,92,0
pellets,3,C,10,pdae,6,1,44,92,0
pellets,3,D,4,pdae,7,5,18,92,0
pellets,3,D,10,pdae,8,2,15,92,0
pellets,3,E,3,pdae,9,5,49,92,0
pellets,3,E,10,pdae,10,3,8,92,0
pellets,4,A,1,pdae,1,4,26,92,0
pellets,4,A,5,pdae,2,1,14,92,0
pellets,4,A,7,pdae,3,5,15,92,0
pellets,4,B,1,pdae,4,4,14,92,0
pellets,4,C,4,pdae,5,2,4,92,0
pellets,4,C,10,pdae,6,1,32,92,0
pellets,4,D,4,pdae,7,3,9,92,0
pellets,4,D,10,pdae,8,2,48,92,0
pellets,4,E,3,pdae,9,3,37,92,0
pellets,4,E,10,pdae,10,5,30,92,0
control,1,A,2,plut,1,2,34,92,0
control,1,A,10,plut,2,5,16,92,0
control,1,B,5,plut,3,2,44,92,0
control,1,B,8,plut,4,1,34,92,0
control,1,B,9,plut,5,3,32,92,0
control,1,C,5,plut,6,3,30,92,0
control,1,D,2,plut,7,3,17,92,0
control,1,D,6,plut,8,5,14,92,0
control,1,D,9,plut,9,4,19,92,0
control,1,E,5,plut,10,4,6,92,0
control,2,A,2,plut,1,3,16,92,0
control,2,A,10,plut,2,1,3,92,0
control,2,B,5,plut,3,3,25,92,0
control,2,B,8,plut,4,4,20,92,0
control,2,B,9,plut,5,2,29,92,0
control,2,C,5,plut,6,5,2,92,0
control,2,D,2,plut,7,5,21,92,0
control,2,D,6,plut,8,4,7,92,0
control,2,D,9,plut,9,3,1,92,0
control,2,E,5,plut,10,2,46,92,0
