Treatment,Tank,Sample,Day,PC,PN
Fish,3,1,66,13.9,2.9
Fish,3,2,66,13.5,2.8
Fish,4,1,66,12,2.5
Fish,4,2,66,9.5,2.3
Dissolved_Coral,1,1,66,11,2.6
Dissolved_Coral,1,2,66,14.1,3.5
Dissolved_Coral,2,1,66,9.7,2.1
Dissolved_Coral,2,2,66,10.4,2.3
Dissolved_Coral,3,1,66,18,4.3
Dissolved_Coral,3,2,66,11.5,2.6
Dissolved_Coral,4,1,66,10,2.1
Dissolved_Coral,4,2,66,8.9,2
Control,1,1,66,17.4,2.7
Control,1,2,66,12.3,2.7
Control,2,1,66,10.5,2.1
Control,2,2,66,10.2,2.1
Control,3,1,66,12.7,2.6
Control,3,2,66,14.2,2.5
Control,4,1,66,7.4,1.4
Control,4,2,66,7.8,1.5
Pellets,1,1,66,12,2.2
Pellets,1,2,66,11.2,2.4
Pellets,2,1,66,12.4,2.1
Pellets,2,2,66,11.4,2.1
Pellets,3,1,66,8.9,1.8
Pellets,3,2,66,11.5,2.5
Pellets,4,1,66,10,2.4
Pellets,4,2,66,10.1,2.1
Mixed,1,1,66,13.6,2.8
Mixed,1,2,66,17.9,3.3
Mixed,2,1,66,12.2,2.7
Mixed,2,2,66,12.7,2.7
Mixed,3,1,66,9.7,2.1
Mixed,3,2,66,9.4,2.1
Mixed,4,1,66,10.5,2.1
Mixed,4,2,66,13.5,2.5
LiveFeeds,1,1,66,7.7,1.7
LiveFeeds,1,2,66,9.3,2.1
LiveFeeds,2,1,66,9.8,2.3
LiveFeeds,2,2,66,9,2
LiveFeeds,3,1,66,10.5,2
LiveFeeds,3,2,66,9.5,2
LiveFeeds,4,1,66,20.3,3.3
LiveFeeds,4,2,66,11.1,2.4
Dissolved_Fish,1,1,66,11.9,3
Dissolved_Fish,1,2,66,11.5,3.1
Dissolved_Fish,2,1,66,8.2,1.6
Dissolved_Fish,2,2,66,8.6,1.9
Dissolved_Fish,3,1,66,7.9,1.6
Dissolved_Fish,3,2,66,7.5,1.5
Dissolved_Fish,4,1,66,20.6,4.3
Dissolved_Fish,4,2,66,22,4.6
Fish,1,1,73,29.2,8.6
Fish,1,2,73,43.1,10.7
Fish,2,1,73,3.7,0.8
Fish,2,2,73,3.5,0.7
Fish,3,1,73,24.2,5.6
Fish,3,2,73,22.8,5.1
Fish,4,1,73,13.2,3.1
Fish,4,2,73,12.9,3.2
Dissolved_Coral,1,1,73,16.8,3.5
Dissolved_Coral,1,2,73,18.4,4
Dissolved_Coral,2,1,73,13.8,2.8
Dissolved_Coral,2,2,73,12.8,2.8
Dissolved_Coral,3,1,73,15.2,3.2
Dissolved_Coral,3,2,73,14.1,3.2
Dissolved_Coral,4,1,73,11.6,2.3
Dissolved_Coral,4,2,73,11.7,2.5
Control,1,1,73,13.4,3.1
Control,1,2,73,17.3,4.5
Control,2,1,73,11.5,3
Control,2,2,73,14.6,3.6
Control,3,1,73,12.9,3.3
Control,3,2,73,13.8,3.4
Control,4,1,73,8.4,1.9
Control,4,2,73,8.7,1.9
Pellets,1,1,73,21.8,4.9
Pellets,1,2,73,38.6,9.2
Pellets,2,1,73,25.8,5.9
Pellets,2,2,73,24.9,5.3
Pellets,3,1,73,13.1,2.8
Pellets,3,2,73,17.3,3
Pellets,4,1,73,17.7,4.1
Pellets,4,2,73,18.8,4.2
Mixed,1,1,73,16.9,3.8
Mixed,1,2,73,19.1,4.2
Mixed,2,1,73,19.5,4.2
Mixed,2,2,73,14.4,2.7
Mixed,3,1,73,12.1,2.5
Mixed,3,2,73,14.9,2.9
Mixed,4,1,73,19.8,4.4
Mixed,4,2,73,22.1,4.7
LiveFeeds,1,1,73,10,1.8
LiveFeeds,1,2,73,9,1.8
LiveFeeds,2,1,73,11.2,2.5
LiveFeeds,2,2,73,10.9,2.5
LiveFeeds,3,1,73,8.8,1.8
LiveFeeds,3,2,73,10.6,2.5
LiveFeeds,4,1,73,9.2,2.9
LiveFeeds,4,2,73,11.4,2.5
Dissolved_Fish,1,1,73,11.8,3
Dissolved_Fish,1,2,73,12.3,3
Dissolved_Fish,2,1,73,10.7,2.1
Dissolved_Fish,2,2,73,8.3,1.9
Dissolved_Fish,3,1,73,31,6.9
Dissolved_Fish,3,2,73,31,6.7
Dissolved_Fish,4,1,73,8.2,1.7
Dissolved_Fish,4,2,73,7.8,2
Fish,1,1,80,10.4,2
Fish,1,2,80,9.9,1.9
Fish,2,1,80,6.2,1.5
Fish,2,2,80,7.1,1.3
Fish,3,1,80,7.8,1.3
Fish,3,2,80,6.6,1.7
Fish,4,1,80,5.8,1.5
Fish,4,2,80,6.9,1.4
Dissolved_Coral,1,1,80,11.4,2.4
Dissolved_Coral,1,2,80,11.7,2.5
Dissolved_Coral,2,1,80,8.4,1.8
Dissolved_Coral,2,2,80,7.9,1.6
Dissolved_Coral,3,1,80,10.4,2
Dissolved_Coral,3,2,80,10.6,2.2
Dissolved_Coral,4,1,80,9.8,1.8
Dissolved_Coral,4,2,80,8.9,1.7
Control,1,1,80,12.3,2.3
Control,1,2,80,10.9,2.6
Control,2,1,80,6.8,1.3
Control,2,2,80,6.8,1.4
Control,3,1,80,13.9,1.4
Control,3,2,80,9.1,1.5
Control,4,1,80,7.3,1.3
Control,4,2,80,5.9,1.3
Pellets,1,1,80,13.2,2.8
Pellets,1,2,80,13.2,2.8
Pellets,2,1,80,7,1.4
Pellets,2,2,80,11,1.9
Pellets,3,1,80,7,1.5
Pellets,3,2,80,7.4,1.3
Pellets,4,1,80,11.9,2.9
Pellets,4,2,80,10.8,2.4
Mixed,1,1,80,21.3,3.9
Mixed,1,2,80,19.4,3.4
Mixed,2,1,80,15.4,2.8
Mixed,2,2,80,15.3,2.9
Mixed,3,1,80,7.1,1.3
Mixed,3,2,80,7,1.4
Mixed,4,1,80,8.7,1.9
Mixed,4,2,80,7.3,1.5
LiveFeeds,1,1,80,7.9,1.6
LiveFeeds,1,2,80,7.1,1.6
LiveFeeds,2,1,80,8.3,2
LiveFeeds,2,2,80,8.4,1.9
LiveFeeds,3,1,80,9.2,1.9
LiveFeeds,3,2,80,9.6,2.5
LiveFeeds,4,1,80,6.3,2.5
LiveFeeds,4,2,80,8.5,1.7
Dissolved_Fish,1,1,80,26.9,5.3
Dissolved_Fish,1,2,80,22.1,4.5
Dissolved_Fish,2,1,80,14,1.6
Dissolved_Fish,2,2,80,8.9,1.4
Dissolved_Fish,3,1,80,9.2,1.7
Dissolved_Fish,3,2,80,10,1.8
Dissolved_Fish,4,1,80,26.7,5.4
Dissolved_Fish,4,2,80,26.9,5.4
Fish,1,1,87,9.9,2.5
Fish,1,2,87,9.7,1.9
Fish,2,1,87,8.3,1.8
Fish,2,2,87,8.1,1.6
Fish,3,1,87,6.4,1.6
Fish,3,2,87,6.9,1.3
Fish,4,1,87,6.3,1.4
Fish,4,2,87,7.4,1.8
Dissolved_Coral,1,1,87,10.1,2
Dissolved_Coral,1,2,87,9.3,1.5
Dissolved_Coral,2,1,87,11.9,2.2
Dissolved_Coral,2,2,87,12.8,2.4
Dissolved_Coral,3,1,87,8.2,1.6
Dissolved_Coral,3,2,87,8.8,1.7
Dissolved_Coral,4,1,87,8.9,1.7
Dissolved_Coral,4,2,87,8.4,1.4
Control,1,1,87,9.6,1.8
Control,1,2,87,10.8,2.1
Control,2,1,87,7.7,1.5
Control,2,2,87,8.6,1.7
Control,3,1,87,9,1.6
Control,3,2,87,8.1,1.9
Control,4,1,87,6,1.2
Control,4,2,87,6.4,1.1
Pellets,1,1,87,9.8,2.4
Pellets,1,2,87,10.7,2.4
Pellets,2,1,87,8.3,1.5
Pellets,2,2,87,8.2,1.8
Pellets,3,1,87,5.7,1.3
Pellets,3,2,87,6.5,1.6
Pellets,4,1,87,9.5,2
Pellets,4,2,87,9.3,1.8
Mixed,1,1,87,12.4,1.9
Mixed,1,2,87,11.7,2
Mixed,2,1,87,9.6,1.7
Mixed,2,2,87,11.7,1.8
Mixed,3,1,87,8.5,1.6
Mixed,3,2,87,13.3,2.1
Mixed,4,1,87,9.7,1.8
Mixed,4,2,87,7.5,1.6
LiveFeeds,1,1,87,8.2,1.5
LiveFeeds,1,2,87,7.1,1.3
LiveFeeds,2,1,87,14.3,3.3
LiveFeeds,2,2,87,11.2,2.5
LiveFeeds,3,1,87,10.7,2.1
LiveFeeds,3,2,87,12.1,2.2
LiveFeeds,4,1,87,7.6,1.5
LiveFeeds,4,2,87,7.3,1.6
Dissolved_Fish,1,1,87,21.3,4.1
Dissolved_Fish,1,2,87,22.2,4.6
Dissolved_Fish,2,1,87,20.9,4.1
Dissolved_Fish,2,2,87,18.9,3.8
Dissolved_Fish,3,1,87,9.6,1.8
Dissolved_Fish,3,2,87,9.1,1.9
Dissolved_Fish,4,1,87,24.2,5
Dissolved_Fish,4,2,87,25,4.9
Blank,1,1,11,3.9,0.5
Blank,1,1,16,2.8,0.6
Blank,1,1,24,3.3,0.1
Blank,1,1,30,5.8,1.2
Blank,1,1,38,2.7,0.5
Blank,1,1,45,7.4,0.8
Blank,1,1,52,2.7,0.7
Blank,1,1,59,2,0.4
Blank,1,1,66,1.7,0.3
Blank,1,1,73,2.9,0.5
Blank,1,1,80,1.8,0.3
Blank,1,1,87,2.3,0.5
Blank,2,1,11,2.9,0.2
Blank,2,1,16,5.8,1.6
Blank,2,1,24,4,0.5
Blank,2,1,30,5.2,1.2
Blank,2,1,38,3,0.6
Blank,2,1,45,4.9,0.8
Blank,2,1,52,4.6,0.8
Blank,2,1,59,2.5,0.5
Blank,2,1,66,2.1,0.4
Blank,2,1,73,5.1,1
Blank,2,1,80,2.5,0.7
Blank,2,1,87,3.2,0.7
